id,name,type,fias_id,district_id
0,Абышево Деревня,Деревня,002cefd9-cea7-438c-a09d-c22d7306c543,0
1,Азаматово Деревня,Деревня,b502e894-2f86-4460-8c83-0a0c937ee112,0
2,Алнаши Село,Село,73c29a8c-d61e-45dc-afb8-c3d0b0753cb8,0
3,Арбайка Деревня,Деревня,ce2b4efd-e6be-4604-a5a2-89efbd56dc36,0
4,Арляново Деревня,Деревня,868c2495-b181-4c7a-8ffc-b4071b55cd46,0
5,Асановский совхоз-техникум Село,Село,450352dc-a27d-4aba-91bc-e4c84358590b,0
6,Байтеряково Деревня,Деревня,bc9590d8-1134-4a1f-a2f4-be41251c12c1,0
7,Благодать Деревня,Деревня,22de6c7f-cabd-4171-8496-353416be9a16,0
8,Богородский Деревня,Деревня,9ea47da0-1e58-487d-9aed-8710c0466ddc,0
9,Бокай Деревня,Деревня,cb60cf27-e8c1-4d05-8e7f-c4690337a464,0
10,Варали Деревня,Деревня,443a27d8-447d-435b-8d7a-55fe6181f38a,0
11,Варзи-Шудья Деревня,Деревня,6ab530c4-e32f-4b8b-b5c6-300ecbae3394,0
12,Варзи-Ятчи Село,Село,a5d1267f-ea21-4a7e-9acf-8bb98133d28e,0
13,Варзибаш Деревня,Деревня,8dcbf31a-6f68-4174-8e31-3ef59a673e22,0
14,Варзино-Алексеево Деревня,Деревня,cc7d331c-460a-4c33-9167-84f61a2b2d08,0
15,Верхнее Котнырево Деревня,Деревня,d1c83421-4695-4e39-a0cc-f51656f22995,0
16,Верхнее Кузебаево Деревня,Деревня,e0deb2e8-3fd3-44ae-9d31-c215458caeef,0
17,Верхние Алнаши Деревня,Деревня,1996374d-3bce-40a2-8c4d-62006de74e62,0
18,Верхний Утчан Деревня,Деревня,6d8023b7-aed1-46d1-9d13-08cd672e5beb,0
19,Верхняя Тойма Деревня,Деревня,61e4214a-1eb6-4b17-b7b1-376041d1bc64,0
20,Выль Шудья Деревня,Деревня,38ad82dd-fcb2-4345-ba8c-8e4e2d831060,0
21,Вязовка Деревня,Деревня,7c08cb20-e5d1-4e66-9145-647dfd2458dc,0
22,Гарга Деревня,Деревня,1a9eb015-fbdb-44e4-95cf-a64064e22276,0
23,Дроздовка Деревня,Деревня,9167c644-03b9-4aba-9b9f-33cd8b26bc8c,0
24,Дружки Деревня,Деревня,e85ee0c8-df61-497e-80e4-7e6351103287,0
25,Дятлево Деревня,Деревня,65161995-b163-4fe7-9632-3ab26b192d1c,0
26,Елкибаево Деревня,Деревня,331844c5-a6ad-4ae4-97f8-22bb12fafbdb,0
27,Железнодорожная станция Алнаши Станция,Станция,7a1cc69d-756d-4748-99dd-8705e1072d3c,0
28,Игенче Деревня,Деревня,96aa631c-97a7-4204-a0ba-b0e9ebe0f2fa,0
29,Ильинское Деревня,Деревня,693aa0b3-a927-4a53-abf1-d76e0424a04e,0
30,Кадиково Деревня,Деревня,127dc6e7-5f32-4967-b8e8-85ee9b744439,0
31,Казаково Деревня,Деревня,db53cde3-ed00-4ff3-9a31-c4a03e2045b6,0
32,Ключевка Деревня,Деревня,47a38897-eb86-4d14-9a97-36f3ee25dfca,0
33,Колтымак Деревня,Деревня,bcdaaef6-07d4-4387-9cb3-6d337b9764a3,0
34,Кузебаево Деревня,Деревня,8a3654e2-53a7-491a-8d23-0fb4f767bd23,0
35,Кузили Деревня,Деревня,805d47d2-33e8-4ce8-9ba9-f4d163dbb355,0
36,Кузюмово Деревня,Деревня,03efe586-c530-4a7b-ab48-c2cdcea8c0e4,0
37,Кучеряново Деревня,Деревня,1a204bd4-54e9-45b0-8729-f98931c58210,0
38,Ляли Деревня,Деревня,299613a4-489a-4e57-8210-926d3b6ad005,0
39,Марийское Гондырево Деревня,Деревня,f8071598-b89f-4b6c-b821-d402bffd1be6,0
40,Медведка Деревня,Деревня,c6d9f660-8205-4453-8b56-a1bd369d74ff,0
41,Муважи Деревня,Деревня,94674bb2-7b45-4b7c-bb0e-fbc0560b87f4,0
42,Мукшур Деревня,Деревня,8e6aca02-ea98-4fa2-99c4-05c414aceebe,0
43,Нижнее Асаново Село,Село,825bee48-b0be-4e42-bed3-21551edfe6c9,0
44,Нижнее Котнырево Деревня,Деревня,aab3c7bb-e9e2-427c-a2d1-a0c8afe57e3a,0
45,Нижний Сырьез Деревня,Деревня,931bb4e0-56ac-4a9c-99e5-9bf19eb0af91,0
46,Новотроицкий Деревня,Деревня,505e723c-ddf7-4682-ba71-f26e26930cda,0
47,Новый Утчан Деревня,Деревня,a0f1bb1e-c9ea-4a95-b868-1a787b6db73c,0
48,Орехово Деревня,Деревня,619af800-f86b-4ec7-87d6-2602b999db05,0
49,Оркино Деревня,Деревня,78f04304-a431-48aa-8375-70050432399b,0
50,Охотничий Деревня,Деревня,3d6a06a4-0c91-4505-8d0c-2ca0099074e9,0
51,Петропавловский Деревня,Деревня,2c381379-3942-4b3e-8b01-6f8bc304f6c4,0
52,Пирогово Деревня,Деревня,7e6f564c-e744-4d28-b793-5cf03f859db1,0
53,Писеево Деревня,Деревня,28936805-e806-49a9-b562-16647c336a70,0
54,Ромашкино Деревня,Деревня,3b769d54-dfb1-49c4-8719-84b47f502c0f,0
55,Русский Вишур Деревня,Деревня,ae3e5aab-22fa-4e78-b3e6-9d9f5d1e179f,0
56,Русский Ятцаз Деревня,Деревня,b2e05d00-e316-4fd2-8cf2-3935379e681e,0
